"ident","source","translate","context"
"ident1","source1","source1","new-label,context,label-exist"
"ident2","source2","source2","context,label-exist,new-label"
"ident3","source3","source3","label-exist,context,new-label"
"ident4","source4","source4","context,label-exist,new-label"
"ident5","source5","source5","context,label-exist,new-label"
"ident6","source6","source6","label-exist,context,new-label"
"ident7","source7","source7","new-label,label-exist,context"
"ident8","source8","source8","context,label-exist,new-label"
"ident9","source9","source9","new-label,label-exist,context"
"ident10","source10","source10","new-label,context,label-exist"
"ident11","source11","source11","new-label,label-exist,context"
"ident12","source12","source12","new-label,context,label-exist"
"ident13","source13","source13","new-label,context,label-exist"
"ident14","source14","source14","label-exist,new-label,context"
"ident15","source15","source15","context,new-label,label-exist"
"ident16","source16","source16","context,label-exist,new-label"
"ident17","source17","source17","context,label-exist,new-label"
"ident18","source18","source18","context,label-exist,new-label"
"ident19","source19","source19","context,label-exist,new-label"
"ident20","source20","source20","context,label-exist,new-label"
